Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,583846188346.72,604324202050.64,647421597617.88,683726355213.52,735285089547.34,798329518629.68,876222557410.44,927523758485.75,1014479810519.90,1099213311661.69,1161385395320.13,1264333061774.61,1392428220486.92,1556967358814.12,1705964297341.51,1859083029689.34,2080373864908.72,2293885157028.68,2570707667537.48,2870922302612.26,3131774126516.07,3513994963656.99,3658081025119.14,3975475111781.89,4393971258071.62,4704774999482.75,4958242427343.98,5287828242049.45,5745207451214.25,6208137243275.24,6558665950908.47,6770092083643.19,7114394589252.92,7437550121856.44,7867242439537.61,8245811373433.40,8704363777972.13,9235474283855.56,9699948950000.00,10312400831271.10,11000599098931.60,11324483674355.40,11701005616098.00,12357971049634.80,13244904088278.20,14214616964778.70,15140020223591.00,15927446063783.30,16272813774721.70,15830214167157.30,16616030620486.30,17342220425174.50,18031752018521.60,18637912373835.00,19339327561439.90,19801463926217.10,20279970339907.40,21199387143244.10,22340938595869.60,23182285203906.00,22544625986481.30
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,190638219224.18,173217770402.06,176450045325.62,193138719907.00,212049740363.25,238288620134.35,265434726816.09,266801108817.00,271537994725.60,302816243090.48,344591500150.68,383074582107.85,440102974125.88,567196413525.35,667222609350.42,733894548019.39,791141109355.55,917670063589.35,954875303904.33,1135709671770.74,1298658013886.99,1362578006995.13,1385953446551.90,1273580273240.78,1329994143999.27,1439148887253.90,1532588941422.18,1617569638481.07,1765770911935.00,1811567198981.42,1946877337292.35,1962668917976.54,2010046974384.65,2094205388275.30,2433553893438.85,3016058496496.86,3326514565640.34,3483089448830.87,3353405024079.37,3098743575690.67,3402666635829.76,3517386354505.58,3727667418995.22,4246849627151.31,5106248595258.33,6162939672286.76,7437913382719.21,9370862110648.88,11647616055831.10,11255941488095.60,13502132102916.30,16452509381141.50,17598957474090.20,18967644032580.40,19689758374414.30,18462701729536.90,18510516644486.30,20540999218256.10,22520234547004.30,22946895238179.10,22424057107160.40
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,736309210869.70,792958788990.84,829485007219.95,917464854579.59,1014876114230.84,1144549716827.70,1371424012169.74,1741910567597.48,1968282114939.78,2299379196192.00,2390192040692.18,2708799525635.46,3306074575830.57,4044371554185.17,4580889964218.55,4077076602948.79,3928957717450.43,3811512415767.00,3663384722716.07,3791076638293.00,5174508215163.08,6394083576116.96,7117409188488.36,7212323231561.99,8823564877299.14,9116394556571.73,9798332715913.17,9003756543767.74,9416068639460.15,10871449753001.10,11096327908537.20,10521033613508.00,10794713977278.60,10672428351460.40,10046655321168.50,10157339692049.70,11099688958575.40,13518142445938.00,15758398915716.10,16780582777683.70,18169171281351.10,21229481021282.00,23318309419163.90,20510483521808.50,21013558496066.70,23296350638065.90,22463014714476.10,23477452103178.90,23793962374648.40,20508597009691.00,20445552705800.90,21648851652556.40,23217309660002.30,22934888163095.20,22126825155477.80
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,543300000000.00,563300000000.00,605100000000.00,638600000000.00,685800000000.00,743700000000.00,815000000000.00,861700000000.00,942500000000.00,1019900000000.00,1073303000000.00,1164850000000.00,1279110000000.00,1425376000000.00,1545243000000.00,1684904000000.00,1873412000000.00,2081826000000.00,2351599000000.00,2627333000000.00,2857307000000.00,3207041000000.00,3343789000000.00,3634038000000.00,4037613000000.00,4338979000000.00,4579631000000.00,4855215000000.00,5236438000000.00,5641580000000.00,5963144000000.00,6158129000000.00,6520327000000.00,6858559000000.00,7287236000000.00,7639749000000.00,8073122000000.00,8577554457000.00,9062818202000.00,9630664202000.00,10252345464000.00,10581821399000.00,10936419054000.00,11458243878000.00,12213729147000.00,13036640230000.00,13814611414000.00,14451858656000.00,14712844084000.00,14448933025000.00,14992052727000.00,15542581104000.00,16197007349000.00,16784849196000.00,17527163695000.00,18238300569000.00,18745075687000.00,19542979183000.00,20611860934000.00,21433224697000.00,20893746000000.00
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,82117789554.92,72293003696.87,66101341181.17,71631294792.39,82765378787.47,96260115959.95,105322740373.65,102311746591.62,103571661210.05,116246532691.77,129000881835.37,138649129277.17,156764041661.38,197061584641.41,223384555213.49,251065305776.17,255281984365.35,294680851696.02,286269890184.17,331753426134.41,382716487498.53,408284948889.91,428313655383.18,448514043982.15,485857273821.41,531352657566.52,531049746185.60,526830485373.06,585416851898.73,635856192238.51,686420111855.99,748766795886.23,844527737352.52,937245463458.66,1136490316241.24,1411795559218.75,1631620707805.92,1721581743034.32,1641313225445.75,1873309763174.13,2098369992965.64,2295120541224.41,2721889244760.51,3369697999590.79,4105057273096.01,4958081745032.16,6201920620729.39,8246155884027.25,10846063661909.70,12046128110393.30,14400853470740.60,17463375940968.10,10774468160208.70,11828349008693.60,12751243799677.60,13281198366371.30,13560237634379.50,14819322198962.20,16574964993617.60,17135404533968.40,17448894596355.70
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,82005282510.39,72193957287.68,66010777777.36,71533154970.11,82651984500.95,96128232951.26,105178440943.46,102171572430.92,103429760879.28,116087266911.47,128824141715.65,138459170391.93,156549264094.77,196791596657.09,223078502941.05,250721328963.22,254932230411.44,294277118572.13,285877680658.59,331298901022.49,382192139471.93,407725570304.88,427726836086.64,447899548757.75,485191615792.40,530624667718.87,530322171347.47,526108691213.72,584614790370.00,634985025329.07,685479668883.63,747740933649.74,843370676010.88,935961372427.15,1134933245997.24,1409861301773.29,1629385274720.99,1719223057116.46,1639064512942.07,1870743199387.04,2095495081116.18,2291972960553.72,2718133484266.46,3365110165705.59,4099575225124.58,4951566247097.10,6193857159551.02,8235515202250.18,10832126104157.80,12030562690087.10,14382441099753.70,17441152604226.90,10760615671768.10,11813186197924.90,12734944483410.70,13264224627407.00,13542946740899.40,14800506807477.90,16553933355619.70,17113644754522.80,17426659793626.20
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,725931117202.68,820813003647.74,990428711523.76,1282020509407.61,1451750057862.34,1690875090425.36,1770054233927.19,2004900497340.86,2442696478420.52,2952838432090.34,3303181850263.89,2879984188262.20,2777376665977.43,2702069500746.21,2603395491959.08,2677660947369.09,3744041974466.61,4631250656846.37,5084288198655.59,5193668896729.20,6498471911158.62,6736015994578.51,7406290275006.51,6761114918561.71,7161872216278.51,8296026012678.73,8431518032299.25,7733761443399.13,7969786047468.59,7923369089161.32,7260120640328.08,7388169197905.12,8050016390858.96,9912552738053.62,11400572828592.00,11906966999544.00,12704675013015.80,14712567758786.80,16240620039269.40,14713157992273.20,14545430302862.20,15741789992629.50,14636917145741.30,15296013552373.20,15634241267477.30,13547247755711.50,13885155820999.30,14734764528614.80,15971540026258.90,15689631518599.40,15292101403230.00
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59716467625.31,50056868957.67,47209359005.61,50706799902.51,59708343488.50,70436266146.72,76720285969.62,72881631326.67,70846535055.65,79705906247.46,92602973434.07,99800958648.14,113687586299.05,138544284708.96,144182133387.72,163431551779.76,153940455341.51,174938098826.57,149540752829.27,178280594413.04,191149211575.00,195866382432.54,205089699858.78,230686747153.26,259946510957.14,309488028132.65,300758100107.25,272972974764.57,312353631207.82,347768051311.74,360857912565.97,383373318083.62,426915712715.86,444731282435.52,564324670008.24,734547898224.10,863746717507.40,961603952954.23,1029043097558.91,1093997267277.10,1211346869600.41,1339395718862.89,1470550015077.93,1660287965663.89,1955347004965.69,2285965892364.20,2752131773358.92,3550342737009.53,4594307032667.98,5101703073088.97,6087163874510.73,7551500124197.17,8532229986993.65,9570406235659.64,10475682920597.70,11061553079871.50,11233276536744.70,12310409370894.20,13894817549380.30,14279937467431.00,14722730697890.10
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,244832935017.63,268965157140.85,298819018812.34,335341706018.76,373024086802.03,407740494856.14,444882672260.91,483418521497.10,518991584973.93,579332792192.93,642618088368.82,728350554974.31,879866290916.20,1142236590690.38,1295369699850.02,1501998418268.04,1567495504827.94,1782977995170.69,2183343538754.24,2644833360482.99,2962180543669.06,2574374750648.22,2492494872148.43,2431610581355.91,2332402739282.44,2396184424241.68,3362906739591.32,4159430693750.93,4574520626626.70,4672688524983.16,5880686952499.88,6114121761315.69,6745616975554.07,6172470672291.46,6515616661978.12,7515711917825.14,7604595626511.76,6952260676501.12,7149267346201.27,7113796789828.48,6479521539517.45,6590666424357.18,7166111687665.03,8842962520460.19,10141926724906.40,10519654742334.80,11174795667785.80,12862918900419.20,14101249622359.90,12887882434721.40,12629069775558.10,13619653887377.90,12638916806936.30,13191652296932.50,13490997038990.60,11669741216577.30,11964468804660.30,12646241353753.90,13692226055585.60,13413842337067.40,13021205512135.60
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,157049773620.35,157901974080.43,162659357383.35,172566534661.25,197827233388.28,214260057466.79,211601891911.01,222270081145.79,240671155446.11,268566303918.20,283911437586.14,307238245059.36,335778520083.38,428945651658.34,600874443104.43,646096824093.03,706349773257.13,789644001349.68,877057723681.19,1066693265061.97,1326738615612.93,1481405367666.64,1409647021497.26,1418649361957.47,1409317738301.81,1450391665527.10,1463332007880.45,1473952685512.32,1548713009475.55,1582025611401.82,1860395793245.02,1972012323756.27,2175318884967.23,2417334707636.79,2557716754922.44,2646412587946.26,2901079020395.48,3130117446237.41,3147990079198.70,3406096387225.54,3745852898952.15,3800067906507.42,3936733566035.98,4684897788036.47,5645893336526.15,6776093568100.76,8087400230824.31,10180607705254.20,12381657653325.30,12814763349411.30,15334954230324.10,17497182619620.50,10151489375461.80,10250908279248.50,10603415111975.00,10082377974481.90,10307820454608.60,11137608724945.90,11214753522578.20,11527336323652.60,10668243564848.30
