Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,20960103884.17,21555620051.65,23596854215.30,27499891894.73,25617517511.57,28873196151.54,31712902614.67,29942687174.19,31559551357.99,35743385801.24,43723501989.19,42737143123.26,49714410419.51,61067687696.51,86607811534.57,98944676913.10,116042092204.53,128401615296.19,143011114846.51,180503919939.61,220804747634.47,309151903657.13,290271512472.93,231472811801.48,211163157658.81,218510002711.12,212151526027.80,234426404542.88,237886460066.86,233307664272.68,370432375180.34,166913738350.26,159677480849.90,143927245588.54,135081646633.75,173691365764.75,192628355976.81,212232212544.60,219065009279.44,239512005441.08,277419401595.62,265114006547.76,303920782985.18,330242765211.09,412310042039.73,514675134383.61,647419961228.13,783963867979.88,981864488035.89,891299385483.32,1037283083168.18,1199072749199.73,1305769636134.07,1435149414936.55,1496754137523.49,1316968983469.14,1204223295262.90,1257565465525.83,1343501305008.34,1406202851207.05,1291170763951.99
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,12072126075.40,13834300571.48,16138545209.25,19074913947.72,21343844643.73,24756958694.92,28721062242.16,31647119228.20,31475548481.41,36038711599.54,40992995008.32,46619420359.28,59132415221.33,78639525985.15,97274006345.54,114777046376.81,118507184779.91,132449277108.43,160599687500.00,214601955875.06,232766822928.75,202807891511.98,195996754505.53,170951185614.85,172102910370.52,180793463796.48,251321075204.94,318747935588.20,376160409941.44,414757056922.00,536558591250.41,577166174539.63,630916018202.50,525075636030.85,530562634455.35,614609020549.77,642588992512.81,590077272727.27,619214834614.10,634693160025.57,596877648793.07,627286800894.86,705394315829.10,905492099322.80,1067093369754.16,1153285660987.44,1259343871534.31,1472131125102.66,1625224842536.99,1485583495415.39,1420722034063.00,1478772824224.03,1324820091194.67,1354757433212.72,1369398844599.58,1195119269971.52,1232076017361.53,1309297246509.31,1420300232663.59,1393046093137.25,1281484640043.58
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,25494761908.86,26719958966.71,28861786770.04,33416150842.82,31063578619.38,35537196053.65,38595489904.72,39003835401.97,40977327537.29,45547455403.76,47385426646.36,50144627082.07,49526031177.43,59803266462.54,77394417757.11,94967158508.08,88435873413.29,99762694033.89,116933378329.78,131324321491.52,144430462739.00,148812881290.54,148410694864.37,143256327360.23,144202540872.83,155815292184.18,176680853057.83,201682293590.20,188800485211.15,194003937510.86,214115872053.80,224894517785.77,230729618026.27,249881523150.96,265784569988.41,319281338552.47,375102878985.58,425795978847.89,497986867437.88,593911110949.93,688098075447.53,776349100401.31,1025915952062.18,1444691107322.93,1868708904874.61,2365601291228.24,3054521785048.14,4224805836329.09,5718359300890.06,6434038046334.24,7518798448035.82,8735725953803.70,919776287603.02,942089353863.71,991194428818.16,1003773176913.89,1014637975776.15,1099267754149.05,1178812544573.93,1239409656312.54,1276458118690.90
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,23810561532.29,24818595393.28,26868450259.32,29559954296.37,32796053519.92,37041383287.55,42465895767.04,50670955869.17,67263577202.27,102537620193.72,119311352648.65,147273268494.06,170439112811.21,183192593439.02,228496791098.88,273628597468.49,267035473642.84,306278910030.59,344206010239.06,364417114036.53,397322228082.28,446508813443.30,390483593666.78,358477809926.19,360488214016.18,507139807872.79,262770938785.45,289371637240.77,297115312194.62,318544655265.22,371194030846.82,427896468010.39,452410538638.59,461255140911.52,501592716549.26,532013694132.40,537954639517.42,523457403293.93,571741701363.92,679294294233.77,802026607192.59,929931228587.30,1139887382226.52,1407365033003.49,1372557462068.68,1579524587809.95,1565628375271.21,1699939010902.07,1571815091867.65,1547656462442.83,1385866266853.23,1403896677724.43,1384689900925.74,1320216563622.83,1343535630261.11,1195745981528.40
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,23598030672.06,24597066916.46,26628624968.39,29296104890.45,32503318992.96,36710755341.48,42086849126.52,50218671624.43,66663188760.97,101622378921.64,118246390598.97,145958720981.21,168917789124.10,181557433368.64,226457249968.95,271186214027.67,264651939812.79,303545092933.06,341133659368.51,361164360731.10,393775766785.77,442523317255.32,386998173385.76,355278070297.49,357270529707.34,502613125061.16,260425469797.35,286788732889.47,294463288520.08,315701355265.22,367911230846.82,424486868010.39,448650738638.59,457187340911.52,497321516549.26,527700094132.40,533950939517.42,519901603293.93,567773701363.92,674691194233.77,796900907192.59,924582928587.30,1134071682226.52,1400054633003.49,1364471762068.68,1569843087809.95,1554442275271.21,1687730610902.07,1558299591867.65,1533666762442.83,1371893866853.23,1388491277724.43,1368561900925.74,1303939963622.84,1326402130261.11,1180179221398.00
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,106065260585.07,107481403917.63,107238604976.78,101527437202.88,100942454618.21,111141520404.58,121332322551.22,136737267362.40,143493293682.11,150377120011.29,163597934211.40,171363646772.31,169905955336.95,186880222618.83,196268323117.07,241534846473.57,280744320545.44,326183968750.83,389890520859.30,483807667772.36,577536126761.45,657565006277.32,907178932148.59,1317046350170.62,1723467571486.65,2207723501141.52,2876424708323.65,4020056078965.54,5482519735715.47,6176600092573.49,7236520774965.33,8655310962811.41,870580046892.79,893206045691.90,962291144015.95,944897315877.78,934969388327.58,1024343546809.85,1062085616749.24,1105828102660.32,1112301339068.53
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,13040000000.00,14160000000.00,15200000000.00,16960000000.00,20080000000.00,21840000000.00,24320000000.00,26560000000.00,29360000000.00,32480000000.00,35520000000.00,39200000000.00,45200000000.00,55280000000.00,72000000000.00,88000000000.00,89025974025.97,81814159292.04,102500000000.00,134561403508.77,205139086956.52,263959336734.69,184609157801.42,156159198584.51,184261495828.37,195219789801.48,134550096436.74,147540738281.82,181611549975.80,221400669713.59,261253582805.95,313142768453.49,363157598242.27,500736065605.34,527813238126.28,360073909243.86,410975595310.16,500413483109.18,526502129378.28,600232874042.93,707906744574.64,756706300589.79,772106378935.38,729336319677.45,782240601984.76,877476221382.10,975387131716.09,1052696282278.87,1109989063586.62,900045350649.35,1057801295584.05,1180489601957.61,1201089987015.45,1274443084716.57,1315351183524.54,1171867608197.72,1078490651625.31,1158913035796.37,1222408203104.30,1269433932805.91,1073915880822.50
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,5667756644.83,7076465295.33,8337423312.88,9150684931.51,9333536359.80,10997590361.45,16273253012.05,25802409638.55,30463855421.69,37269156626.51,45808915662.65,51455719099.92,51400186379.30,72482337370.35,85518233450.78,90158449307.23,81052283404.61,84853699994.05,85289491750.32,79954072569.85,75929617576.88,84300174477.20,94451427898.34,106140727357.03,116621996217.13,128026966579.96,158006700301.53,176892143931.51,202132028723.12,227369679374.97,215748998609.64,95445547872.72,140001351215.46,165021012077.81,160446947784.91,195660611165.18,234772463823.81,256836875295.45,285868618224.02,364570514304.85,432216737774.86,510228634992.26,539580085612.40,755094160363.07,892969107923.09,917869910105.75,912524136718.02,890814755233.23,860854235065.08,931877364177.74,1015618742565.81,1042271531011.99,1119091259074.62,1058423838345.14
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,12063628120.64,12910168928.61,13806056582.42,14611896045.76,15945498103.28,17314123645.81,18833575076.48,18930353850.43,19982313523.04,22860641668.80,31424476413.71,29185197343.26,32770621912.77,34960232851.31,50396446198.20,57971319765.20,69959468131.53,73756457219.12,80183403491.26,98426835474.28,126263052760.81,243040647652.82,222134579283.69,168564712354.96,144656489975.62,145317249328.70,131018168568.07,134041250452.92,137620491366.39,132645401952.22,146299215216.15,146920333042.33,147612367223.60,132706083302.74,133300774540.00,156254042006.83,172449887550.63,176072233170.50,173821114291.87,181553398240.24,206705099958.28,206387009252.69,228078647180.12,256457905377.52,312115091495.75,373173945083.14,466905156870.51,538453105772.45,639781541391.60,606746812537.83,709848482641.06,814197671741.15,900516869460.18,977960758120.66,1049228964549.63,1011433451408.63,942117764046.80,925118884014.57,966188380162.91,998391254201.58,961669400838.28
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,19299444453.28,19709535909.45,21478715486.32,25715008783.16,23510800233.22,26791601695.97,29131535492.92,30151828539.81,32853799013.03,37717646992.77,40287263976.54,44445200471.04,48267317150.54,62938945069.65,78195532918.09,83376544652.86,83151564592.32,94921754118.23,106270914812.58,124410159537.59,156402020579.79,160264604350.21,154559945629.77,159644504107.10,145918624822.43,130347551478.77,146921174384.99,179612311194.85,188869581508.18,194405736391.83,212185847636.20,220607545655.72,220063005938.32,233869615673.33,238919172017.81,269498561282.17,268250521535.70,282013878700.82,265649661675.88,262011704777.85,283751640320.99,258660109000.80,264707648997.27,352442599635.08,438565119110.54,511897508172.38,575568771652.07,660774462147.46,707853210440.61,712053896956.71,846810044359.64,942710850898.20,949849051927.15,963560356978.00,983748641613.90,918647122201.58,872023488531.33,984255550008.41,1011723274893.29,1008375499870.66,918815487643.22
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,12276734172.08,13493833739.99,14647057370.14,15891241386.29,18699380731.35,21000586933.20,22867203317.40,25087562181.32,27817605743.25,34035946604.18,38164716625.07,44579122807.02,54706557264.49,71840909664.20,87243413394.54,100249523353.09,109168720620.10,127016990212.80,155859695457.32,179669405690.43,195152092662.38,164134217080.28,158479527935.96,153445465987.18,143912664148.35,143845822717.62,200862095700.67,245046310922.54,261910508417.88,258336705809.00,318330511920.61,327500327675.63,362962872180.45,353550169672.52,379130260322.07,452301674444.14,450490196078.43,416812740004.52,438008220395.47,446898572341.79,416442786069.65,431213422818.79,471613965744.40,578792325056.43,657171591755.65,685092650167.89,733340860619.75,847481522036.68,947997656364.44,868077243678.80,846554894931.08,904085980796.02,838971306990.91,876923518850.41,890981311077.66,765264949781.00,783528181704.57,831809944960.88,913597086062.60,910194347568.63,913865395789.89
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,17400640236.12,17851391160.57,19428246891.80,23440429372.70,20940588848.39,24457133607.64,26632864332.23,26088675380.81,27606789033.95,30676434581.58,32153960400.10,34622174043.38,37708598089.97,45609076870.06,55598002725.13,63518051900.97,67439693754.76,79285872937.07,91589907009.69,102384124503.99,109039891748.05,107793867176.27,108142882947.03,102636003892.89,102502615571.07,107633097679.24,124467501613.02,138966791616.48,138281613585.70,133577957303.14,139385578725.44,141024921095.35,131670097016.52,136630242723.23,116033238201.66,135421458879.98,146797056931.22,152868594191.20,161750134104.21,162518271015.04,176220699672.08,171307742634.44,184419474766.57,208776941816.20,240664864493.35,276579738434.66,326147664989.79,391059079170.51,465061978939.59,463586422813.86,504395602908.08,558889516640.03,578534050391.48,649338841472.99,673234215206.09,658854673931.18,667162752714.39,719093423345.99,767292162064.78,788297388408.11,795720445705.88
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10404280784.15,11128050589.28,11943353288.48,12676515453.68,13838577015.18,14862472886.18,15832846880.93,14426432397.41,14880350847.42,16882094302.97,23504608014.67,20832819361.26,25264956496.19,31273822294.48,44214489605.74,51444737234.32,62129396932.54,65315014927.36,71199715512.13,88628410997.21,112031316716.52,211003522772.27,187163730429.13,138115205724.07,114262672752.22,116507304373.06,107497531255.44,110321757308.77,108943462603.12,101768781748.05,121802185300.14,117457042740.62,118282284598.65,98826405551.02,86281770253.47,108221322522.55,125763049173.42,127063932192.75,130106844606.85,137520164451.49,140407973778.93,148012003011.17,176933365387.40,204641949829.56,254090255061.06,310554338477.89,393296680919.43,461777599573.79,566425696836.64,506996402016.44,591582966686.50,670962551547.58,727571396578.05,820787588844.36,851487150651.95,760729687146.57,690543020916.23,683741574626.19,741691624372.79,794572474605.87,784587603322.87
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,9522746719.22,10712712465.05,11879982758.56,13063643795.79,14480556571.55,15346741669.76,16480058704.85,17740013179.26,18942729779.10,20524886616.48,,,,,,,,,,,122660905890.08,112339195092.15,115140108850.91,114730757467.49,109547355832.66,111073640470.47,159223703930.18,199403912956.01,215721878630.49,208280848462.62,265987061618.20,269127820781.03,280156819798.04,272466458446.13,301628489434.82,353132515010.57,340471241909.39,295121356714.67,303882354117.81,298520480628.41,279841151705.35,287226531168.52,310175772488.13,363063293977.87,405531321270.61,420544947799.55,443801905407.56,493537376707.76,570304197211.71,558199868578.26,603434493402.68,722038242134.62,692109693986.89,712748124222.61,734396591036.93,702149580770.90,695600652899.28,704478516963.86,735539301552.67,731767398052.88,752248045730.11
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,13995067817.51,7988888888.89,8922222222.22,10355555555.56,11177777777.78,11966666666.67,14100000000.00,15644444444.44,17500000000.00,19466666666.67,17086956521.74,16256619963.80,20431095406.36,25724381625.44,35599913836.43,44633707242.76,51280134554.29,58676813687.37,65147022485.79,89394085658.20,68789289565.74,71040020140.44,64546332580.76,61678280115.50,59989909457.84,67234948264.60,75728009962.79,87172789528.33,90852814004.99,107143348667.09,150676291094.21,150027833333.33,158459130434.78,180169736363.64,130690172297.30,169485941048.04,181475555282.56,189834649111.26,275967393939.39,256385525071.63,274302959053.10,201751148417.10,240253216295.12,314592428076.49,408876042651.70,506308311476.63,557057829051.45,681337335021.87,770462156204.38,649272568774.19,776992599946.77,838762755164.18,880556375779.51,957783020853.03,938952628604.07,864316670330.88,869692960365.55,858996263095.86,778471901665.15,761004425605.41,719954821683.31
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,4187777711.11,4485777644.44,5377268848.53,7184863276.55,9664067929.66,14947491056.46,45412971909.38,46773303720.89,64005623870.32,74188363505.85,80265732292.58,111859726428.74,164541658298.60,184291888767.19,153238991868.88,129171602025.15,119624918956.21,103897892810.98,86962013010.56,85695941760.05,88256162068.97,95344352823.70,117630271802.48,132223268491.32,137087876662.22,132967901415.22,135174886488.65,143343036341.79,158662398744.99,165963557409.88,146775498080.00,161716960000.00,189514926213.33,184137469733.33,189605920240.00,215807655253.33,258742263040.00,328459700114.76,376900135727.64,415964583055.37,519796738640.00,429097899280.00,528207332640.00,671238840106.67,735974843360.00,746647127413.33,756350347333.33,654269902880.00,644935541440.00,688586244293.33,786521831573.33,792966838160.00,700117873253.33
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65977749036.98,85500935934.99,94337050693.27,96045645026.18,110803391516.70,142292783505.16,160193242090.43,159357789772.21,174685791563.56,170031005016.26,172219461126.07,190905493539.17,199072058823.53,217827260805.84,255110181539.81,306144336269.51,344622003093.58,429028505365.08,533609081852.90,439737508413.19,479834179020.33,528301269069.80,498523568248.12,521016262734.92,542477096211.76,477811911394.08,472630364208.18,526508877305.32,587411745161.56,597280564671.56,596624355719.67
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,15822585033.58,17212686614.57,18667251380.07,20204870629.74,22532416750.01,24795499685.78,26971486546.28,29275995674.69,31066819929.29,33738102482.16,38092452060.62,41566412922.61,48954145808.84,59404966684.22,66013338964.73,82885397620.54,89362071672.90,94468740851.48,104442351222.75,123386410160.72,142092068280.69,129686938223.33,114380557730.88,105014356666.80,109201362581.30,114123537581.79,150498057723.62,183009638350.89,206986674500.59,217948315624.56,261846194498.89,274229034311.70,284321115594.63,212953336588.12,229033566614.83,267305875261.10,291743811512.08,268146144677.73,270809066780.71,274072182416.73,262835454366.86,242395852494.41,266849061835.66,334337212322.08,385118044877.47,392218088878.78,423093437423.76,491252589217.02,517706149201.20,436537014293.55,495812558843.31,574094112972.73,552483727282.80,586841821796.89,581964017237.10,505103781349.76,515654671469.55,541018749769.10,555455371487.09,533879529188.45,541220059459.25
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722590.99,12400145221.60,13264015675.32,14260017387.05,15960106680.67,17371457607.94,18651883472.48,19992040788.46,21376353113.48,23710735894.70,26706196046.79,29821661869.91,37209418018.51,47743801490.37,56033077879.04,65678189097.29,71113882967.61,82839905458.64,101246526194.44,116315456796.92,126829314388.19,104730018470.23,92095926187.53,87184239053.25,83349530159.17,86268264148.38,120018787249.41,149394404105.89,162299103675.26,164221056511.06,205331747947.85,210510999409.33,234781652446.68,224721795708.96,244884129491.20,288025588396.28,279201433224.76,252708051420.84,258528339631.03,258158533986.79,236204532891.10,236541297539.15,257157820440.43,317381715575.62,368537000248.32,385570948886.95,407918078032.87,470324254037.78,515223524241.98,481345929424.84,480951629493.03,522645519183.59,496181260258.30,521642714407.84,534678075827.36,462149679343.82,475739588764.76,501522868356.44,543008499294.08,535288715240.00,521861292586.62
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,2760747471.89,3034043574.06,3308912796.93,3540403456.55,3889129942.31,4388937649.04,5279230817.31,5638461442.31,6081009427.88,6695336567.31,7086538437.50,7375000024.04,8177884552.88,10838587357.75,13703000530.06,14882747955.03,16985211146.02,19779315170.02,24006570178.16,27371699082.71,32353440726.89,34846107862.37,36589797857.40,40042826244.23,41797592963.44,38900692712.15,43096746122.46,50535438696.41,61667199834.74,72250877410.32,85343063965.92,98234695722.03,111452869378.47,128889318946.59,146683499005.96,169278753531.98,183035114648.40,150180619366.61,113675561057.46,126669064386.72,126392233706.79,120296476180.40,134300851255.00,152280677649.06,172895749632.05,189318549680.38,221758196504.94,262942476722.43,291382991177.70,281710416557.29,341104820155.46,370819140946.55,397558222957.17,420333203150.43,407339454060.68,401296437425.00,413366150655.59,456356961443.50,506611070188.36,544263840039.17,501643653514.93
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,83439188024.57,86064547263.12,83061641564.76,81208016185.21,88699235428.00,103497494139.42,121541900212.75,100866225385.27,102717590048.17,110823260856.14,114897304306.62,110986561919.96,116349832748.39,114707600090.94,129412255515.89,143503523630.59,154208479208.11,158155259913.53,160838262761.95,188099299302.76,187902601486.31,201433046948.84,220121300324.65,258219889893.08,307883081469.42,356947473931.25,429942780348.68,514962385895.59,520947505542.22,577168675459.67,403234822822.69,383756014291.37,394766401791.62,422749913704.27,416827653898.75,385815187958.19,407990012215.50,424435637009.26,446839372323.89,457643836483.17
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,7871345584.37,8855637583.09,10433492402.22,13002648842.53,20198276930.23,22993381875.02,26247009944.59,29805833773.56,32045912080.15,39768847418.00,52919781977.04,54682806939.55,54423739873.37,52651924857.22,52168625449.70,50249044986.42,49319167812.12,56334387306.72,62037928015.99,64541989169.54,74735513586.88,76319898937.69,81198652882.79,80092773731.55,84285950115.49,95870341561.00,101912077089.07,108977685154.75,108832345095.57,116632628130.30,129062581247.98,129578896927.03,138660041228.36,165859303927.02,199640466372.48,237865672328.60,277063733087.86,332118867237.79,399976736419.38,342525336119.25,393562327094.90,474316713512.63,494441957225.31,514124360196.71,529895957927.52,452206885980.77,444926108167.46,479917651624.90,527518555673.90,519587425264.18,451423668844.17
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841.18,7311749633.36,7756110210.12,8374175257.73,9169983885.71,9994070615.86,10887682273.10,11579431668.92,12440625312.87,13582798556.24,15373005557.03,17858486066.75,22059612476.93,29515467706.80,35189299911.66,40059206763.06,42959976221.52,51545758887.69,62052259073.25,73937296963.46,82058912997.23,71034228443.06,71275287569.57,72121016546.65,67985344886.87,69386774408.09,99036164939.16,124168442533.74,133339397080.13,133105805512.22,166463386179.35,173794177961.11,195078126721.76,190379720809.18,203535242741.84,241038283062.65,237250948791.27,212790348404.56,218259904401.96,217185787342.85,196799778883.36,197337879194.63,213377771503.86,261695778781.04,300904221504.84,315974418604.65,335998557270.10,388691445387.35,430294287388.31,400172297860.52,391892746544.69,431120310088.82,409425234155.26,430068712971.87,441996131736.51,381817565893.57,395568644341.04,416230497429.16,454945881027.38,445011872704.47,433258467676.52
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,4196092258.15,4467200335.99,4909302953.94,5165489010.22,5552822483.55,5874422511.55,6366792664.15,5203135937.28,5200895982.08,6634187316.25,12545849083.02,9181769911.50,12274416017.80,15162871287.13,24846641318.12,27778934624.70,36308883248.73,36035407725.32,36527862208.71,47259911894.27,64201788122.61,164475209515.19,142769363313.38,97094911790.69,73484359521.10,73745821156.30,54805852581.15,52676041930.58,49648470439.80,44003061108.34,54035795388.09,49118433047.53,47794925814.76,27752204320.09,33833042987.76,44062465800.17,51075815092.50,54457835193.49,54604050168.18,59372613485.66,69448756932.58,74030364472.05,95385819320.57,104911947834.12,136385979322.44,176134087150.34,236103982431.64,275625684968.62,339476215683.59,295008767295.04,361456622215.72,404993594133.58,455501524575.50,508692961937.49,546676374567.72,486803295097.89,404650006428.61,375746469538.67,397190484464.31,448120428858.77,432293776262.40
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1939329775.44,2088012282.36,2260349684.09,2430843768.45,2766608945.87,2945704143.00,3104034393.23,3343636773.37,3278584478.33,3787077343.73,4395995086.00,5098250287.47,6318060582.22,7481173065.79,7896860614.99,9483808362.37,9453756014.72,11248340431.38,14647996073.69,18319334300.45,21747855640.07,20670190138.17,21474752962.22,20766047763.53,20106648454.84,21270013325.56,28714571852.48,33920518492.51,37772896220.76,39238392677.75,49305632408.49,49787501584.48,55918538121.40,52417477613.68,57097656065.96,69139823232.32,75790786290.32,82856648758.36,90199410115.51,98860565736.20,99958806891.47,109252057270.69,127985972143.80,164307961625.28,194015335237.15,211797991543.34,231986253920.46,269736375581.71,274326912260.14,235509465129.20,221659742984.75,238662833333.92,225509709550.98,238211547205.68,258625192663.58,291462799328.95,298725229419.22,334602299873.03,384853685231.02,399122063504.15,425888950992.00
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2598500000.00,3138500000.00,2510000000.00,2992333333.33,3405333333.33,3663333333.33,3980000000.00,4030000000.00,4619000000.00,5329333333.33,,,,,,,,,,,,,,,,,,,,,,,,,,100605702520.51,110180666416.02,114753492201.54,115999082655.72,117166318090.68,132455662080.30,130816321183.16,121148475241.67,127046633802.51,135571348058.90,142657069099.98,154145495309.48,179161786957.47,216711549609.81,207953439208.61,234654589559.97,262293871093.06,258417104163.53,294167366504.27,310944937638.44,300078278118.43,319024417316.89,355277223507.49,373641241440.79,397934596952.56,407100736594.06
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604877.61,18272123664.47,25605249381.76,28344705966.64,28630474727.90,24256667553.26,26436857247.50,31256284543.62,31584210365.54,33293199095.49,34733000536.29,52544000116.90,72436777342.46,52438647921.92,51169499890.77,56781000100.94,58082870156.26,69252328953.38,76961923741.95,78676842366.42,84307486836.72,103979106777.91,79092001998.03,88416668900.26,110934442762.69,111106191358.20,126206817196.09,76636898036.47,141352368714.69,189719984268.49,228788617201.70,236741715015.02,257440000000.00,258031750000.00,272149750000.00,292859000000.00,298948250000.00,283523000000.00,284203750000.00,268696750000.00,97724004251.86,127586973492.18,164657930452.79,198737095012.28,232557260817.31,287530508430.57,361558037110.42,332976484577.62,423627422092.49,530163281574.66,545982375701.13,552025140252.25,526319673731.64,594749285413.21,557531376217.97,643628665302.16,524819742918.67,451932356085.84,389288056265.33
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,3136476963.55,3723426349.58,4506546719.79,6529375932.96,12037239771.17,13436837686.31,16704012230.87,18809922853.83,20752026485.78,26946863063.65,37417416714.05,37615307071.86,35579096336.04,33610515710.75,33852774905.06,32170855239.31,32577247305.66,38664036893.83,43438789099.15,45483670006.97,54434614979.33,56052410087.35,61143960082.33,58226834949.54,60908208891.90,70232782348.00,73995136553.27,76863051371.56,75292616832.64,80948689717.10,91409484061.66,90943070776.24,98114311646.00,122145547137.78,151573297104.56,183626997445.75,215785894153.76,264055704494.69,323026840855.03,277199129949.17,322471061693.29,396935260715.64,414204036938.20,432280813993.56,446198800396.37,369944240893.98,365871050813.93,398011979849.43,441549513063.08,432772412402.88,375853309054.97
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,,,,,,4948667540.41,5278005611.91,5605484298.98,5932242990.65,6524455205.81,8042200452.15,8609283346.09,9299638055.84,10098534613.44,9228963224.60,11632178868.92,13315988083.42,14400806875.99,14811704063.07,18020571428.57,21669908177.07,22136081081.08,27655172413.79,30966239813.74,33971188991.61,39053502251.07,41253507951.36,40455616653.57,34980124929.02,39756299049.98,42978914311.35,37387836490.53,41855986519.42,46578631452.58,51897983392.65,60159245060.45,67629716981.13,78436578171.09,84828807556.08,90710704806.84,99838543960.08,96684636118.60,85146067415.73,80288461538.46,78782467532.47,89600665557.40,107426086956.52,130437828371.28,162818181818.18,189147005444.65,218983666061.71,235989672977.63,279116666666.67,288434108527.13,305595408895.27,329366576819.41,332441717791.41,235733695652.17,249712999437.25,303080865603.65,365252651278.85
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,5163271598.16,5632460936.55,6066976682.67,6510239502.76,7159202706.48,8058681060.16,8696460205.34,9514496703.40,10159934136.78,11063065083.49,12814123115.26,14583114840.06,17358610849.70,22534253702.87,27145693810.13,32877805200.02,35942270686.34,41508030431.11,46523091009.67,53132244623.92,64439382896.02,63596654760.87,62647195537.65,61627240831.09,62057955032.78,65416879914.39,78693253276.00,94230055658.63,101900260856.22,102633789557.54,119791683307.51,121872464483.49,130838040067.58,120579072750.60,127131461119.93,152029612324.79,163520109150.67,161356631888.48,154163364302.66,162284465073.34,171247131268.60,173972218824.03,195524186477.62,228858506821.84,264511630666.98,308884284051.22,345581369965.54,400937100158.66,462250000000.00,386190385318.77,428757038466.84,498283438454.28,509506317146.54,522761531914.89,498410050251.26,385801550067.17,368827142857.14,398393955268.99,436999692591.45,405510000000.00,362522347110.36
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,7515886650.50,8171186334.44,4954529277.11,5505055617.65,5953766853.81,6517304758.00,7189017887.80,7724873935.15,8632749269.36,9571800652.61,7559179530.40,8375086047.10,9067872578.94,11412421019.63,15607825070.50,16875240683.07,19380945792.69,22283185056.10,25762077665.03,31218507870.17,36848242783.90,40499645207.81,42206011274.80,37759237657.92,35730202751.03,34961565262.71,33987178952.49,37791442730.78,43152077817.47,48513735777.31,50508286643.02,51784207132.12,60422309296.98,62036625222.97,73159245524.47,84644220102.07,94648084428.82,94106183450.27,74492325247.07,85640133799.80,83669693589.15,78921234457.23,84307291974.47,87039145965.01,95002028504.69,107419961717.12,127652859201.49,155980378252.86,181624577153.97,175974711591.53,208368726860.83,234216930369.37,261920509949.79,283902728259.79,297483247100.86,306446140627.93,318626761492.31,328480867143.20,346842094174.51,376823278560.85,361489325230.73
